Laborious|something requiring much physical or mental effort|When you just start exercising it may seem laborious, but over time it gets easier.|
Languor|weariness or exhaustion|If you do not drink enough water, you will become dehydrated and fall into a state of languor.|
Languorous|lazy and lethargic|The languorous teenager would rather lay in bed playing video games than actually do something constructive.|
Languorous|lacking in energy and enthusiasm|After working all week, the exhausted woman wanted to enjoy a languorous day in bed.|
Lanky|awkwardly tall and skinny|Long-limbed and lanky, it was hard for the man to fit inside the compact car.|
Lantern|a lamp with a protective case around the flame|A brown rustic lantern hung from the porch and lit the way for weary travelers.|
Lapse|A temporary failure; a slip|His lapse in judgement led him to fall behind in his studies.|
Larceny|unlawful taking of personal property|After finding his computer was not where he left it, he accused his sister of larceny.|
Large|of greater size than normal|Large birds with great wings flew high over the river valley.|
Largesse|generous acts of giving gifts or money to a large number of people|Because of the millionaire’s largesse, twenty underprivileged graduates now have college scholarships.|
Laryngoscope|a medical instrument specifically used to examine the human larynx|Because my voice was hoarse, the doctor had to use a laryngoscope to see if there was anything wrong with my larynx.|
Larynx|an organ in the neck of humans and animals that contains your vocal cords; voice box|Strain on her larynx caused the singer’s voice to crack.|
Lascivious|having or showing strong sexual desire|After running naked through the field, he was arrested for lewd and lascivious behavior.|
Lassitude|tiredness and a lack of energy|After the long race, Jack experienced a feeling of lassitude.|
Latch|to fasten a door or gate with a latch or a lock|We had to latch the door closed with a lock so it would not fly open when it got windy, since the last storm made a mess.|
Latency|the period of time that one component in a system is waiting for another component|A system update allowed the system to run faster and reduced any latency or wait time.|
Latent|existing or present but concealed or inactive|The detective asked the lab technician to search the room for latent fingerprints.|
Lateral|of or pertaining to the side|A beam runs along the top of the bridge, offering lateral support to the structure.|
Latitude|having the choice to do something |My father gave me the latitude to choose my own curfew on prom night.|
Latter|used to signify the second part of something|My favorite fruits are apples and watermelon, especially the latter on a hot summer day.|
Lattice|crisscross or diamond pattern with spaces in-between|I pierced through the wooden lattice, splitting the diamond pattern in two.|
Laud|to praise or glorify|The company decided to laud Jack’s outstanding contributions to the firm.|
Laudable|deserving to be praised or admired|While Jason did not win the contest, his efforts were laudable enough to be mentioned by the judges.|
Laudatory|giving praise|The laudatory announcement praised the team’s efforts during the championship game.|
Laugh|to make the sounds and movements of the face and body that express happiness|The children began to laugh and giggle as the clown performed goofy tricks for them.|
Launch|to start or set something into motion|The space center prepared to launch the rocket far into outer space.|
Lavation|a washing or cleansing|She said she expected a thorough kitchen lavation when all she needed to say was that she expected a thorough kitchen cleaning.|
Lavish|luxurious or elegant|Every room in the five-star hotel was filled with lavish furnishings.|
Lawless|without law and order|The lawless Wild West was full of bandits and outlaws that didn’t fear the law because there weren’t many people to enforce them.|
Lax|relaxed and not strict|The lax entry requirements let just about anyone in.|
Laxity|the state of being relaxed, easy-going, or not very strict|The prevalent laxity toward marriage causes the divorce rate to rise.|
Liaise|to work together to create a desired outcome|To quickly settle the terms of the divorce, the husband and wife must liaise in an amiable manner.|
Liaison|a person who helps organizations or groups to work together and provide information to each other|As the liaison between the police department and the public schools in our city, my aunt coordinates officer visits to each of the schools.|
Libel|nan|I told Troy that I would sue him for libel if he posted that embarrassing picture of us on his Facebook page.|
Liberal|1) willing to consider new things and ideas2) quite generous|The political candidate’s liberal plans have enraged his conservative foes.|
Liberality|possessing the characteristics of someone who is generous and gives freely|J.K. Rowling shows great liberality to the poor and often donates several thousands of dollars to the charities each year.|
Liberate|to free|Because the dogs were experiencing maltreatment, the compassionate man decided to liberate his neighbor’s animals.|
Liberation|the act of setting someone or something free|Liberation of the country only came after the people were brave enough to fight for freedom.|
Libertine|someone who ignores moral values|My Uncle Charles is a libertine who lives with his four girlfriends.|
Liberty|the freedom to do and act as one pleases|Fighting for their liberty, the men could not wait to be free from the King of England.|
Libidinous|reflecting desires of a lustful nature|The libidinous man was constantly thinking of sex.|
Libretto|the words or lyrics of an opera or musical play|After many months of work, the libretto was finally completed and would be performed soon.|
License|a permit that allows for someone to do something such as run a business or drive|The boy has to take a written and practical test to earn his driver’s license.|
Licentious|lacking moral discipline or ignoring legal restraint, especially in sexual conduct|It is assumed that pagan festivals once involved many licentious activities, including a number of sexual games.|
Lichen|leafy or mossy like fungi that grows on rocks, trees, and other natural elements and retains water|Slimy green lichen grew on the rocks next to the creek.|
Licit|lawful; not forbidden|Although he did not agree with her choices, she was over 21 and he could not stop her licit drinking.|
Lie|to recline or stretch out|Every time I lie out on my beach towel for a long time, I end up with a sunburn.|
Liege|an individual who is loyal to a person of rank, usually related to the Medieval time period |The liege was willing to give his life for his king.|
Lien|a claim to the possession of another until a debt is settled|The bank has a lien on the truck until the buyer fulfills his financial obligations.|
Lieu|instead of something|The company issues additional shares to shareholders in lieu of a cash dividend.|
Lieutenant|an officer or deputy that acts as a substitute for a supervisor|The police leiutenant was responsible for running the entire jail in his boss’s absence.|
Life|the state between birth and death in which one is functioning|The police tried to convince the man on the ledge that his life was worth living.|
Lifeless|dead or appearing to be dead because of lack of motion|Paramedics got to the child’s lifeless body just in time to restart his breathing.|
Lifetime|the duration of the life of someone or something|While reading my cousin’s obituary it mentioned she gave a lifetime of service to the nursing profession and her community.|
Ligature|something used to tie or stitch something tightly|Serving as a ligature, the nurse wound the cloth around the man’s wound.|
Light-colored|light in shade or color|Wear a white or light-colored t-shirt to the beach so that you don’t get hot.|
Light-hearted|cheerful; happy-go-lucky|Laura went to go see a light-hearted film to put her in a better mood.|
Light|brightness from a natural means, the sun or a lamp that allows you to see something|In case I arrive home after dark, I have my front room light set with a timer to turn on in the early evening so my dogs can see where they’re going.|
Ligneous|woody; looking like wood.|The ligneous chest of drawers looked like it was made of solid wood but was really particle board.|
Like|similar to something else|My new dog looks so much like my last puppy that it seems they could be friends.|
Likelihood|possibility or good chance of something happening or being|When the wind began to blow harder and the sky darkened, the likelihood of a storm approaching was relatively great.|
Liken|to point out similarities or a resemblance to something else|The disappointed travelers liken the horrible trip to going to a beach with no water.|
Likewise|in a related way|In time, the nightmares will go away, and likewise, I will no longer remember the accident.|
Lilliputian|a very small person or thing|Barely four and a half feet tall, the Lilliputian woman was the smallest one in her family.|
Lilt|a spirited song or tune|The small songstress sang an Irish lilt that raised the spirits of all the patrons in the bar.|
Limb|an arm or leg of a person or animal|The boy jumped off of the playground swing and broke his limb when he fell on his elbow.|
Limb|a large branch on a tree|A limb from a diseased oak tree fell on my car overnight.|
Limber|flexible; agile|The limber gymnast was able to do the backflip with ease.|
Limbo|being in a lost or unknown position|That has created a limbo in terms of how the military deals with gender-specific policies.|
Limerence|the overwhelming need to be with or receive similar feelings from another person that manifests in physical trembling and pain when the other person is not around. Beyond simple infatuation or lust|When Romeo first laid eyes on Juliet, he was struck with such limerence that his need for her became like a drug that could only be satisfied by returned feelings.|
Limitation|a restriction or restraint that is used to control|A limitation was placed on copies and now the workers can only copy a few papers a week.|
Limn|to represent in painting or words|The painter is known to limn pictures of his lovers on oil canvases.|
Limp|lacking stiffness or firmness, as of substance, fiber, structure, or bodily frame|Having forgotten to water it in weeks, the stalk of the plant was not limp and brittle.|
Limpid|see-through; clear |Because the sky was not limpid, we could not see the stars.|
Line|a row of persons or things|The teachers will often have to settle the children down while they’re waiting in the lunch line.|
Lineage|direct descent from a particular ancestor|Our family was ecstatic to learn about our royal lineage and how we descend from kings and queens of antiquity.|
Lineal|being in direct line of an ancestor|Mary learned that her lineal family tree leads directly back to English royalty.|
Lineament|an outline, or feature, or contour of a body or figure, especially the parts of the face |The young child traced the lineament of the statue.|
Linear|arranged or along a straight line|A linear path was created straight from the field’s first base to the second one.|
Lingo|language peculiar to a particular group or region|The rookie nurse was unsure how to respond to the doctor since she was unfamiliar with the medical lingo he was using in his question.|
Linguistic|related to languages|The linguistic instructor is here to teach us German, which is a difficult language to learn since it is different from Latin, which is the basis of more common languages like Spanish.|
Liniment|a topical solution used to alleviate stiffness or pain|Because of arthritic pain, I usually apply liniment to my legs every night.|
Link|a connection between places, people, events, or ideas|He has been a beat officer for the past three years and is a vital link between the community and police.|
Lionize|to treat (a person) as if they were important, or a celebrity|I hate when people lionize dead celebrities that were vilified during their lifetimes.|
Lipid|a substance (such as wax, fat, or oil) that will dissolve in alcohol but not water|Lipids are the building blocks of living cells and come in a variety of options (waxes, fats, or oils.)|
Liquefy|to turn something into a liquid|Using a food processer, the chef was able to liquefy the ingredients into a watery mixture.|
Liquid|a phase of matter that flows and takes the shape of the container it fills|Liquid spilled out of the top of the cup after the toddler dropped it.|
Lisp|when a person cannot pronounce “z” or “s” sounds properly|Christian's classmates made fun of his lisp, but he could not help that he could not make “s” and “z” sounds.|
Lissome|bending and moving about without any difficulty|The lissome figure skater moved effortlessly on the ice.|
Listicle|an article or piece of writing consisting of a series of items presented as a list|The website puts out a new listicle every day listing which celebrities have been arrested or done stupid things.|
Listless|without spirit or energy|The illness made me so listless I rarely got out of bed.|
Lit|exciting; fun|Last night’s party was so lit that I’m still reliving the fun in my mind.|
Litany|a lengthy record |The landlord was tired of listening to his tenant’s litany of complaints about the property.|
Literally|in an exact manner|After falling in the lake, I was literally smelling like a fish.|
Literate|able to read and write|The young toddler is literate, able to fully read and write at a very young age.|
Literature|written works (such as poems, plays, and novels) that are considered to be very good and have lasting value|Filled with literature, the library contained award-winning books from every genre.|
Lithe|gracefully flexible, and often accompanied by being thin and long|While Corinne has the lithe, agile body that would be perfect for gymnastics, she is too tall to manage some of the events.|
Lithological|related to the study of rocks|The geologist accepted a lithological position that put him in charge of screening the rocks found at the dig site.|
Lithosphere|the solid part of the earth that includes the crust|The geologists compared the solid crust of the lithosphere to other parts of the planet.|
Litigant|someone engaged in a lawsuit|A plaintiff is a litigant as is the defendant because they both are involved in a lawsuit.|
Litigate|to participate in legal actions|After not reaching an agreement, the two parties decided to go to court to litigate the settlement.|
Litigation|the conduct of a lawsuit|Charles entered into litigation when he opened a civil suit, attempting to hold his former employer liable for withholding wages.|
Litigious|relating to litigation; inclined to engage in lawsuits|Tom is a notoriously litigious individual who will sue anyone for anything.|
Litotes|is a literary term for a figure of speech that uses negative terms to express a positive statement|The Japanese woman used litotes to phrase her true thoughts in a nice way.|
Litter|trash that is lying in an open place|Loads of litter filled the polluted ocean, with the toxic trash making the fish sick.|
Littoral|relating to a shore or coastal region.|The littoral states of the Atlantic Ocean include South Carolina as well as New Jersey.|
Liturgy|preset practices that are carried out during a religious service or event|The priest has performed the baptismal liturgy over five hundred times.|
Livelihood|the way in which an individual earns a living|The singer’s livelihood depends upon his fans purchasing his music.|
Liveliness|being energetic, active, and outgoing|Playing and laughing, the children’s liveliness filled the whole room.|
Lively|active; full of energy|The lively children came barreling down the hallway.|
Livery|a special color scheme used as a design for vehicles|The livery of my favorite racer’s car is a full yellow paintjob that has two black racing stripes going down the middle.|
Livid|furious|Boris was livid with fury when he learned his wife’s killer was being released from prison.|
Living|alive; Not dead|Several different types of living creatures make their homes in the pond next door.|
Loathe|to hate very much|I loathe having to sit in the waiting room for hours.|
Loathsome|extremely offensive|Everyone avoided Jason because of his loathsome personality.|
Lobby|the main entryway located inside a building|Hotel guests must enter through the main entrance and check-in inside the lobby.|
Lobby|an entrance hall to a company, hotel or theater|Denise called me and said, “When you enter the lobby, sign in as a visitor with the receptionist before taking the elevators to the second floor for your training session.”|
Lobbyist|an individual hired to convince a legislator to act in a specific manner|As a lobbyist for a gun manufacturer, Harry tries to persuade legislators to vote against strict gun control bills.|
Locality|the position or geographic site something is in|The locality of North America is in the western hemisphere of the globe, more specifically in the upper quadrant.|
Locate|designate the site or place of|A New York business wants to expand and locate another factory in a city which has tax breaks and incentives reducing their startup cost.|
Lockdown|a situation in which people are not allowed to enter or leave a building or area freely|The prison inmates were placed on lockdown and weren’t allowed to leave their cells.|
Locomotion|the action or force of traveling from location to location|Traveling by airplane is the fastest means of locomotion.|
Locution|a word or phrase commonly used in particular situations|Although “LOL” is internet slang for “laughing out loud”, it has become an actual locution among the teenage girls in our school.|
Lodge|to firmly fix something in a place|Because the girl didn’t chew her food well enough, a piece of apple was able to lodge in her throat.|
Lodger|a person who lives in a rented space of another person’s home|Each lodger is responsible for paying his own rent and making sure his portion of the apartment is kept clean.|
Lofty|great and worthy of praise|The football players have set a lofty goal in their bid to win all their home games this year.|
Logic|rational thinking not based on emotions|Logic told the owner not buy the expensive car, but he went against his good judgement.|
Logical|rational, or expected of an intelligent thought process|If a stove is hot, the brain chooses the logical option and tells you not to touch it because it will hurt.|
Logistics|the process of managing the flow of information, goods, and/or services to customers or clients|It takes weeks to plan the logistics necessary for organizing a graduation ceremony for fifteen hundred students.|
Logomachy|dispute over the meaning of words|Not being able to decide on the correct definition for the word ‘inevitable’, the two engaged in a classic logomachy.|
Logophile|a lover of words|Shakespeare was such a logophile that he took the words he already loved and crafted them into new ones.|
Logorrhea|excessive wordiness with minor or sometimes incoherent talkativeness|Unlike our previous teacher whose logorrhea filled her lectures, this year’s teacher speaks so much more sparingly.|
Lollapalooza|a person or thing that is exceptionally striking or impressive|The exceptional music performance was a lollapalooza that stood out amongst all of the other acts.|
Loneliness|an emotion or feeling of solitude, in which one laments a lack of company|His day is marked by loneliness, without the company of any friends or family to make him smile or laugh.|
Lonesome|lonely because of lack of companionship|The monk claimed to never feel lonesome and swore he enjoyed living in solitude.|
Long-winded|lengthy and word in speech|The student’s long-winded response was much more lengthy than the client required.|
Long|measuring a great distance in length|The snake was very long, and its body stretched all the way across the sidewalk.|
Longevity|the duration of time that something or someone persists|The politician’s longevity in office will be determined by voter popularity.|
Longing|desperately wanting something|Longing for a cheeseburger, the craving wouldn’t subside until I made a midnight trip to McDonalds.|
Longitude|angular distance measured west or east of the prime meridian|The vertical lines that are found on the map are known as the longitude, while the lateral lines are referred to as the latitude.|
Longitudinal|running lengthwise|The longitudinal placement of the rug spread from east to west.|
Loom|to impend; to threaten or hang over|When the storm begins to loom over the horizon, we will head back to the car.|
Loophole|a mistake or vagueness in a regulation or law that allow all or part of it to be avoided or changed|Since the contract did not include the deadline for the work to be completed, the handyman found a loophole in the contract so he couldn’t be taken to court.|
Loopy|idiotic, crazy or drunk|Sleep deprivation will have you feeling loopy.|
Loose|not firmly or tightly in place|My pants were a bit loose around my waist, so I needed to find a belt to hold them up before I left the house.|
Loot|stolen goods or money|While raiding the village, the soldiers helped themselves to any loot that they could find.|
Lop|to cut something off|The landscaper used a hedge trimmer to lop down the grass several inches.|
Lope|to take a longer footstep while running or walking|Sprinters usually will lope in their lanes in order to ensure victory at the finish line of the race.|
Lopsided|uneven or unbalanced|Not realizing the table was lopsided, the patron placed his drink on it and water went everywhere!|
Loquacious|a person that talks a lot; talkative|After drinking four beers, my normally quiet wife becomes quite loquacious.|
Loquacity|the act of talking a lot|All I had to do was listen for the loquacity of a person on their cell phone to know that it was a teenager.|
Lord|a ruler who has power or authority over others|The lord was in charge of ruling everyone in his district and used his power to his advantage.|
Lore|information and wisdom gained through tradition|Lore was passed around the campfire in the form of old folktales.|
Lorn|feeling isolated and desolate|Once all her children left for college, the divorced mother felt lorn living in a big empty house.|
Lorry|a large open vehicle used for hauling supplies or soldiers|After the major battle, a lorry filled with medical equipment traveled to the army hospital to restock its inventory.|
Lose|no longer have someone|It is far more tragic for parents to lose a child from a sudden death as it leaves them with many unsaid things and feelings of regret.|
Lose|to misplace or get rid of something|I need a bright colored key chain since I lose my car keys at least once a week.|
Loss|failure to win|The basketball team was discouraged by their loss and vowed to practice more often before the next game.|
Lost|in an unknown location; unable to be found|When Karen lost her dog, she searched the area, called the shelter and placed flyers everywhere to improve the chances her pet would be returned.|
Lothario|one who lures women by pretending to fall in love with them|Lyle knew that his past reputation as a lothario would make it hard for him to prove his feelings to his girlfriend.|
Louche|dishonest and crooked|Suspicious of his ways, Kevin’s father never felt like he could trust his louche son due to his sordid past.|
Loud|a deafening sound|The music from the car passing by my house was so loud it woke up my infant child from her nap.|
Lounge|relax|After complete exhaustion, Henry decided to lounge on the sofa for a few hours.|
Louse|an immobile insect that extracts blood from humans or animals|Once the child began to scratch her head, a louse was found attached to a follicle of her hair.|
Lousy|something that is so terrible it’s shocking|The pizza was so incredibly lousy that she wouldn’t even give it to her worst enemy.|
Lout|an uncooperative and impolite male|When the neighbors witnessed his cruelty to animals, they informed the police of the actions of the lout.|
Love|to like or enjoy|The Dean children love to bake and enjoy serving treats to family and friends.|
Love|a deep feeling of fondness or affection|The love Ben felt for his wife showed in the way her cared for her while she was sick.|
Loveable|adorable; attractive|The lovable puppy looked up at his owner with his cute button eyes.|
Loveliness|the characteristic of being lovely or otherwise desirable|The sunset at dusk is truly lovely, a spectacle that no one should miss out on if they want to appreciate the beauty of nature.|
Lovely|beautiful; charming |Miranda’s lovely emerald dress looked beautiful against her fair skin.|
Low|small in height|In the newspaper, I read about another accident when a trailer truck tried to squeeze under a low clearance bridge.|
Lowdown|cruel and mean|Leroy was a lowdown, dirty rascal who loved to trick elderly women into giving him all of their cash.|
Lowlife|a criminal or other person with no morals or character|The lowlife squatter lives in other people’s vacant homes and destroys them when he leaves.|
Loyal|trusted and dependable|A man’s most loyal companion is his dog because it will always welcome its owner back when the owner takes a vacation.|
Loyalist|someone who supports their ruler or government, especially during a revolution|John is a tea party loyalist who is very outspoken about the evils of the Democratic party in the United States.|
Loyalty|the quality of being faithful and devoted, never wavering from allegiance|Craving loyalty from everyone in his kingdom, the paranoid king would kill anyone he suspected to be an enemy spy.|
Lubricant|oil applied to something to reduce friction|Applying excessive amounts of lubricant to the floor caused many customers to slip.|
Lubricate|to apply oil to a surface in order to reduce friction|Finding a product to lubricate the door was the only way to stop the annoying squeaking.|
Lubricious|having an oily and smooth quality|The other sun-bathers admired the woman’s gleaming and lubricious skin.|
Lucent|Emitting light; shining|Because it was overcast, I could not see the lucent moon in the sky.|
Lucid|easy to understand or thinking clearly|Because the medicine made Lisa drowsy, she was not very lucid.|
Lucidity|the capability to view things in a logical way|The colonel’s lucidity allowed him to quickly plan a strategy of attack.|
Luck|a force that allows good things to happen to you by chance and not as a result of one’s own effort|The lottery winner gained his fortune strictly by luck since he didn’t even pick his ticket numbers.|
Lucky|being fortunate or bringing fortune to others by chance|The basketball player was convinced that his lucky socks were the reason his team won every game they played.|
Lucrative|producing wealth; profitable|The wealthy businessman was constantly on the lookout for lucrative ventures that would help him become even wealthier.|
Lucre|money or profit gained illegally or immorally|Hiding the lucre in many different accounts, the mobsters kept a watchful eye on their funds.|
Lucubration|the process of applying oil or a similar substance to make something run more smoothly|The farmer applied oil to the tractor gears and explained that proper lubrication is required to keep his machine running.|
Ludicrous|something viewed as humorous because of its ridiculousness|The ludicrous movie is about a dog that becomes the president of a country.|
Luggage|suitcases or other bags that are used to pack personal items for travel, especially clothing|While packing their luggage for vacation, the couple made sure to include several swimsuits and sunblock.|
Lugubrious|looking or sounding sad and gloomy|In his first novel, the mysterious postman is the perfect example of a lugubrious character.|
Lukewarm|moderately warm; tepid|Disappointed by his lukewarm chicken wings, the diner requested hot ones from the kitchen.|
Lull|to put to sleep, soothe, or quiet|Soft and cool, the breeze succeeded in its task to lull the man to sleep.|
Lumber|raw cut timber beams|Environmentalists protested the lumberjacks’ actions because they were chopping down all the trees for their lumber.|
Luminary|a person who influences or motivates other people|Because Dr. Swanson is a luminary in the medical profession, he recently had a surgical procedure named after him.|
Luminous|producing or seeming to produce light |The movie editor used the computer program to give the actress the luminous appearance of an angel.|
Lummox|someone who is clumsy or regarded as unintelligent|I consider my baby brother a lummox, since he is constantly tripping over nothing and knocking things over.|
Lump|a swelling under the skin, often caused by infection or disease|A lump on the patient’s neck meant that his cancer may have returned.|
Lunacy|insanity; stupid or foolish behavior|People on several lower class talk shows exhibit behavior similar to lunacy when they yell, cuss, and fight each other over silly problems.|
Lunar|pertaining to the moon|Our class was studying the lunar landing of 1969.|
Lunatic|someone afflicted with lunacy; a crazy person|The man was considered a lunatic because he was talking to a tree as though it were a real person.|
Luncheon|a planned proper function for business or pleasure involving eating |Since the luncheon was cancelled, I was saddened that I would not get to visit with my friends and I would have to fix a sandwich at home.|
Lunge|to make a sudden forward body motion towards someone or something|While visiting my uncle in Florida, he took me to a canal and we watched an alligator lunge at a fish capturing it and started eating it before our eyes.|
Lure|to entice someone or animal with something to persuade them to go somewhere|Ben had to lure the stray dog from the busy road to his yard by offering it a piece of meat until he could find the owner.|
Lure|to tempt a person or an animal into going somewhere else|The hunter used apples to lure the deer out into the clearing.|
Lurid|full of unpleasant details that are meant to shock or interest people|The film had an R-rating because of its lurid depiction of the couple’s sexual encounter.|
Lurk|to hide from sight until the optimal moment in order to attack|Hungry lions lurk in the tall grass and wait for unsuspecting gazelles to cross their path.|
Luscious|extremely appealing in smell, taste, or appearance|I wanted to take a bite of the luscious apple.|
Lush|growing in abundance |Vines and other swinging plants covered the lush rainforest.|
Lust|a fierce desire, often sexual in nature|Janet’s lust for chocolate has caused her to become quite chubby.|
Luster|shine, polish or sparkle|The luster of the holiday lights shone brightly on the freshly fallen snow.|
Lusterless|dull; not shiny|After taking the lusterless ring to the jewelry shop, the once dull piece was now bright and shiny.|
Lustrous|having a glow or radiant look|After a long overdue visit to the hairdresser, my hair is a lustrous auburn color once again.|
Luxuriant|plentiful in detail or growth|In the spring months, thousands of tourists visit the luxuriant gardens near the art museum.|
Luxuriate|to take pleasure in something|After a long day, all Amber wanted to do was luxuriate in a soothing bubble bath.|
Luxurious|a very costly sophisticated style|While traveling abroad with a friend, we were awestruck of the luxurious hotel room we chose.|
Luxury|a state of great comfort, especially when provided by expensive and beautiful things|Living a life of luxury, the queen had people to wait on her hand and foot.|
Lynched|to kill by hanging someone without a judicial trial|There was a time in history when crowds would form to watch someone lynched.|
Lyric|a line of a song or poem|Each lyric of the song must be memorized before the singer takes the stage.|
Macabre|gruesome, shocking, disturbing, terrifying|Since even the scariest of horror movies only made her laugh, Sofia supposed that she had a macabre sense of humor.|
Machiavellian|noted by devious behavior, especially when benefitting one’s career or business goals|My supervisor is very sneaky and has been known to exhibit Machiavellian behavior in order to move up in the company.|
Machination|a scheme that is usually created for bad reasons|After being caught running a machination against his political rival, the ruthless candidate lost the election.|
Machismo|exaggerated masculine pride|A machismo makeover was just what the man needed to increase his masculinity.|
Macrocosm|a large unit or system that contains many smaller bodies|The global company was a macrocosm headquartered in New York City with smaller entities all over the globe.|
Macroeconomics|a division in economics which focuses on the larger aspects of economics of money comparing it to the entire nation or world|When the state’s government analyzes their budget, they use macroeconomics to determine how their budget will influence the country’s budget.|
Macroscopic|able to be seen with the eye|If the item to be examined is macroscopic, then a scientist won't need a microscope to view it.|
Mad|angry or furious|My mother was so mad that she threw a chair across the room in a fit of rage that was completely unrivaled.|
Maelstrom|a situation in which there is great confusion, violence, and destruction, or a very powerful whirlpool|Following the divorce, Judy was beset by such a maelstrom of emotions that she decided to talk to a counselor.|
Maestro|a master of music who is skilled in playing or conducting|Leading the orchestra through their set, the maestro amazed the crowd with his conducting.|
Magic|the ability to persuade people using illusion and trickery|“The only way the man could have made that bird disappear,” said the amazed young boy as he watched the street performer, “is through magic.”|
Magisterial|overbearing and domineering|When my magisterial mother-in-law came over to our house, she insisted that I raise my children exactly how she wanted me to.|
Magistrate|a judge that hears and rules on minor offenses|As a local magistrate, the judge’s power over state issues was limited.|
Magma|rock that is hot and in a liquid form beneath the Earth’s surface|The magma that comes from the ground during a volcanic eruption is referred to as lava.|
Magnanimous|very generous or forgiving; unselfish| Despite the slurs made against him by his opponent, the boxer was magnanimous enough to praise his competitor.|
Magnate|a wealthy and influential business person|Due to his status as a political magnate, many people were eager to vote for him in the next election.|
Magnetic|attractive; alluring|With a magnetic smile, the singer captivated the crowd with his crooning.|
Magnificent|superb or outstanding|With a beautiful bride, delicious cake and fun reception, the guests commented about what a magnificent wedding this was.|
Magnify|to boost or enhance something, making it appear larger|My sister is an exaggerator who likes to magnify even the smallest symptoms when she is sick.|
Magniloquence|use of grand or wordy speech to say something simple|The orator’s display of magniloquence confused the listeners.|
Magniloquent|using high-sounding, boastful language|He spoke in a magniloquent manner, drawing attention to himself.|
Maid|a domestic servant who cleans and waits on others|The maid spent most of her day ironing clothes and folding laundry for her mistress.|
