Message|usually a brief form of communication sent to someone in form of written or spoken|If I can’t answer my phone when you call, please leave me a message and I will call you back.|
Milquetoast|a fearful or shy individual|As the milquetoast quietly shuffled down the street with his shoulders hunched, his eyes would dart around hoping no one would see him.|
Mime|a performer that uses movements and gestures instead of words to express something or tell a story|The face-painted mime used its hands to pretend that it was stuck in a box while performing for the children.|
Mimic|to imitate|Bert can mimic the barking of a dog to perfection, scaring thieves away from his property.|
Mimicry|the act of mirroring an action or behavior|During the talent show, the boy won the audience over when he performed a mimicry of his favorite rapper.|
Minatory|expressing a threat|The hate group left a minatory threat in the form of a burning cross on the couple’s lawn.|
Mince|finely chopped|When we cook we will mince the onions and peppers so they will enhance the flavor of the meat and not overpower the meats overall taste.|
Mincing|dainty and refined, especially in the way that one walks|The woman spoke to her precious pup in a sweet and mincing voice.|
Mindful|thoughtful, considerate and dutiful|Since the child was burned by a fire, the teacher told the other students to be mindful of their classmate’s feelings by refraining from talking about the blaze.|
Mindless|to be done without explanation or care for the results of the actions|The criminal committed mindless acts of violence where innocent people were hurt.|
Mindset|an established set of attitudes and beliefs that someone holds|A person’s mindset is often determined by how they have been raised and the experiences they have had, though the way they think can change over time.|
Mingle|To mix or combine (people or objects) |The spies decided to mingle in with the crowd and see if they could find the killer.|
Miniature|petite in size compared to a larger representation of the item|A miniature model of the castle was created with modeling clay and made it easy to see what the whole castle looked like.|
Minimal|likely the smallest amount |With minimal supervision, the employee was supposed to work by himself and pose only limited questions to the boss.|
Minimum|the smallest or lowest of something|Since the minimum age requirement to ride the amusement park’s roller coaster was 12, the 11-year old had to wait for her friends on the ground.|
Minion|an individual who obeys the commands of another person|At work, I’m a minion who does everything my boss says.|
Minister|a person who is trained to perform religious worship|The minister at our local church spoke a fresh and interesting sermon to their parishioners on Easter Sunday.|
Minor|a legal term meaning child or one under the age of 18|The clerk at the store got in trouble for selling cigarettes to a sixteen-year-old minor.|
Minority|the smaller percentage of the whole|As they looked around the room full of red-clad Republicans, the Democrats knew they were in the minority and their hopes of stopping the bill were destroyed.|
Minuscule|quite small|Many fast food workers are quitting their jobs because of minuscule salaries.|
Minute|a unit that equals 60 seconds of time|With the last test for the school year approaching, Carol is spending every spare minute studying.|
Minutiae|tiny unimportant details |The students ignored their teacher as she told them minutiae about her boring life.|
Miraculous|astounding in a way that suggests a miracle|Her miraculous recovery surprised the hospital staff.|
Mire|a situation or circumstance from which it is difficult to escape|Getting arrested was a mire of unfortunate circumstances the parolee had tried to avoid.|
Mirrored|having a surface that is reflective like a mirror|The mirrored sunglasses reflect out and stop others from seeing through the lens.|
Mirth|amusement and joy|It was obvious from Jacob’s mirth he found the movie to be quite funny.|
Mirthful|filled with joy|The mirthful boy couldn't stop smiling after opening his holiday gifts.|
Misanthrope|a person who hates or distrusts humankind|The old man was a misanthrope who surrounded his entire yard with barbed wire to keep his neighbors at bay.|
Misapprehension|a failure to understand something|The Police Commissioner is under the misapprehension that he can do what he chooses without following the laws.|
Misbehave|to act disobey or act in a way that is bad|Because the child continued to misbehave, he was placed in the corner for a time out.|
Miscegenation|the mixing or blending of race; interracial marriage|Laws against miscegenation caused one to never see a married couple with a Caucasian husband with an African American wife.|
Miscellaneous|consisting of many different kinds of things that might not go together|As a collector, he would sometimes buy a miscellaneous assortment of pennies hoping to find one worthy money.|
Mischief|playful wrongdoing or troublemaking|The children would always get into mischief if they were left unattended.|
Mischievous|badly behaved; naughty|Garry’s dog is very mischievous so don’t be thrown off by its cute smile.|
Miscible|capable of two fluid substances being completely mixed together|Since the contents in the glass became cloudy, it was apparent to the girl that the miscible solution in her glass had more than one liquid in it.|
Misconceived|to misunderstand|I can’t believe there’s still people who often compare misconceived women to be weak in a leadership role.|
Misconception|a belief that is incorrect|The explorer set out to disprove the misconception about the Earth’s flatness.|
Misconduct|unacceptable or inappropriate behavior|Police misconduct within the sheriff’s department caused several officers to be fired.|
Misconstrued|to interpret something the wrong way|Carla had no idea that her intended compliment had been completely misconstrued by her aunt.|
Miscount|to count something incorrectly|Because there are hundreds of pills in the bottle, it is very easy to miscount the amount inside the container.|
Miscreant|an individual who has misbehaved|The principal took the miscreant out of my classroom and placed him in the in-school suspension room.|
Misdeal|to make a mistake while dealing cards|The casino worker was careful not to misdeal when shelling out cards to the poker player.|
Misdeed|something that should not have been done|Gina will have to serve some jail time for her misdeed.|
Misdemeanor|a minor crime|After driving her vehicle on a suspended license, the woman was slapped by the court with a misdemeanor requiring her to pay a fine and spend the night in jail.|
Misdirection|the action or process of directing someone to the wrong place or wrong instruction|Misdirection of the tourists caused them to be lost downtown for several hours.|
Mise-en-scene|the process of setting up a stage for a play or performance|The crowd seemed oblivious to the mise-en-scene, keeping their eyes on the actors even as the scenery was being changed.|
Miserable|extremely unhappy and depressed|Though she pretended to be happy, the woman was really miserable and hated her life.|
Misery|a state of suffering|Living in a state of misery, the refugees suffered greatly because of their country’s war.|
Misfire|to fail to fire a gun or missile correctly|A glitch in the release system caused the rocket to misfire and it quickly exploded in place.|
Misfit|a person whose personality or behavior sets them apart from others|Because she is such a social misfit, Gina has a hard time finding anyone at school wants to be her friend.|
Misfortune|an unfortunate event|A misfortune caused Bill to miss his own birthday party.|
Misgiving|a feeling of doubt|When I learned my daughter’s boyfriend had just been released from prison, my misgiving about him became stronger.|
Misgovern|to run a country or organization unfairly or inefficiently|Because they are being bribed, it’s not shock that the administration would misgovern the country.|
Mishap|an unpredictable accident, mistake or problem|At the yearly fourth of July fireworks tonight, there was a mishap due to computer software problems that shut down the show early.|
Mislead|to make someone believe something that is untrue by giving them wrong or incomplete information|She would mislead all of her boyfriends into believing she wanted something more serious.|
Misleading|giving the wrong idea or information|Misleading advertisements made it seem the phone was being offered for free when it was not.|
Mismanage|to handle something badly or inappropriately|The over spender tends to mismanage his money and waste it on frivolous things like candy and gambling.|
Mismanagement|handling of something in a way that is wrong or inappropriate|The student’s mismanagement of her time caused her to miss her class and fail her test.|
Mismatch|to combine two things that are not supposed to go together|If you decide to mismatch your socks you will look funny to everyone that sees them, especially if they are different colors.|
Misnomer|a name or description that is incorrect or inappropriate|Since Fred is very skinny, calling him Fat Fred is indeed a misnomer.|
Misogyny|an intense dislike of females|The boy’s misogyny hailed from the abuse he suffered from his mother.|
Misprint|an error in a printed text|There is a misprint in the very first page of this book, as it misspells at least three words on the first page.|
Misrepresent|to represent falsely; to inaccurately portray something|The video has been edited and doctored out of context to misrepresent the event as it actually occurred.|
Misshapen|altered or damaged so that it no longer resembles its original form|The shopper picked up the misshapen apple, noted it’s bruised skin and tossed it back in the basket.|
Missionary|someone sent on a mission to help others and convince people to join a particular religion|The missionary spent hours every day going door to door, handing out religious pamphlets and books.|
Missive|a written note |While sitting in class, Greg asked his classmate to pass a love missive to his dream girl.|
Misspell|to spell a word incorrectly|Before the spelling bee started, the children were told if they misspell a word, the speller would be removed from the competition.|
Misstep|to step badly or incorrectly|One wrong misstep during a dance competition may end your chances of moving on to the finale.|
Mistake|an error or slip-up|The mom made a mistake when she bought cake instead of vanilla.|
Mistaken|wrong or incorrect|Paul thought he saw a ghost in the corner, but his parents assured him that he was mistaken.|
Mistaking|confusing|Mistaking the salt for sugar seemed to ruin my cookies which caused everyone to refuse them.|
Mistreat|ill-treat someone or an animal physically or emotionally|When people mistreat their pets, they should pay a hefty fine with some of the money going to the animal shelter.|
Mistrial|a trial that ends through an error in the proceedings|Bill Cosby’s rape hearing ended in a mistrial since the jurors were deadlocked and couldn’t come to a decision.|
Mistrust|a feeling of doubt or suspicion|After Kurt was severely bitten by a dog, he developed a mistrust of most animals.|
Misuse|to mistreat or abuse|Naughty children may misuse toys that don’t belong to them by breaking them or throwing them across the room.|
Mite|a little or slightly|The man was acting a mite suspicious, enough that the cops stopped him to find out what he was up to.|
Mitigate|make less severe or painful|The doctor gave me a prescription to mitigate the pain.|
Mitochondria|an organelle found inside a cell that produces energy|As the powerhouse of animal cells, mitochondria are responsible for making energy-packed proteins.|
Mitosis|the course in which a cell divides and forms two distinct cells, each having the same amount of chromosomes as the original cell|A worm that has been split apart can often regenerate through a type of cell division known as mitosis.|
Mixture|an item made by blending different substances together|A mixture of vodka and orange juice is referred to as a screwdriver.|
Mnemonic|anything (especially something in verbal form) used to help remember something|Our math professor taught us a simple mnemonic for remembering how to complete the equation.|
Moat|a thin stream of water that completely surrounds right outside a large house or fortress |Since the dragon could not swim, he dared not cross the moat to any window or door of the castle.|
Mob|an unruly, generally violent crowd of people intent on destruction or harm|The police had to bring out riot shields to hold back the unruly mob of people that were trying to push them back.|
Mobile|capable of being moved; portable|A mobile blood bank parked their bus in a busy shopping center to draw shoppers into stopping by to donate blood.|
Mobility|the ability to shift from one place to another|My broken leg limits my mobility.|
Modality|the way in which something is executed|John gets multiple assignments done by working in a productive modality that allows him to combine tasks.|
Mode|the way in which something is done or happens|Every parent’s preferred mode of communication was email because it was much easier to access than taking a telephone call.|
Model|a smaller replica of an object|Based on the World War II stealth bomber, Johnny built a model of the plane using a kit and some art supplies.|
Modeled|displayed clothing by wearing it|The designer’s assistant modeled a gray sheath dress from with a wool overcoat during the winter show.|
Moderate|An average amount|The girl’s mild to moderate asthma did not affect her in the way it does a person with severe breathing problems.|
Moderately|fairly; reasonably|A string of moderately priced homes hit the market at the same time, creating a positive buyer’s market.|
Moderation|the act of restraining oneself from doing something excessively|Eating fatty foods is acceptable as long as you do it in moderation without overdoing it.|
Modern|taking place during the current times|Using modern warfare, the number of casualties in war has decreased through the use of drones and other high tech equipment.|
Modernism|a movement towards modifying traditional beliefs with modern ideas|Residential modernism in the area moved homes away from country looks and towards clean lines.|
Modernity|the quality of being current or contemporary|The modernity of the Titanic caused many to believe that its technological advancement made it unsinkable.|
Modesty|being reserved in behavior or clothing|Because of her modesty, the young woman was uncomfortable wearing a bathing suit in public.|
Modicum|a small portion|When Jane wore the short dress to the funeral, she proved she did not have a modicum of decency.|
Modification|a change or augmentation to the base form of something|Training wheels are a modification we add to normal bicycles so young children can learn to ride them safely.|
Modify|to change or alter|Teachers are allowed to modify certain student’s test to level the academic playing field.|
Modular|to be built as an evenly sectioned component|Since the office was built with modular cubicles, no one’s office was any bigger or better than anyone else’s.|
Modulate|to control or regulate|Several chemicals coming from the brain modulate appetite, controlling when the body feels hungry.|
Module|a scholastic part which focuses on a topic that is part of a larger unit|In order to pass the virtual course, the student had to complete each module pertaining to a different health issue.|
Mogul|a powerful and/or wealthy individual|The music mogul has a ten-billion-dollar recording empire.|
Moiety|half of something or an equal portion of|If the medicine makes you feel drowsy, you should only take a moiety of the dosage before going to work and the other half when you get home.|
Moil|to work hard|As they continued to moil in the field, the slaves became exhausted from the amount of work expected of them.|
Moist|damp; wet|Because it was a moist area, moss grew freely on the rainforest floor.|
Moisten|to dampen something with water|After licking the envelope to moisten it, I sealed it shut and placed it in the mailbox.|
Moisture|a very small amount of liquid that gives off the feeling of wetness|Moisture sensors are able to turn the vapor sensitive system on when it rains.|
Mojo|magical power; voodoo|The witch’s mojo was strong enough to make any man in the village fall head-over-heels for her.|
Molasses|thick, brown syrup that is separated from raw sugar|In some recipes, syrupy molasses can be substituted for sugar since they both have a sweet flavor.|
Mold|a frame used to form something using pressure|Each floral mold was used to create cookies that were in a flowerlike shape.|
Moldering|decaying or rotting slowly; disintegrating|Once valued possessions now sit moldering in an attic, frayed and covered in a thick layer dust.|
Mole|a little, round, dark raised bump permanently on the skin |The family doctor recommended that his patient get the mole on his back checked out with a specialist since it had grown in size.|
Molecule|a group of atoms that are bonded together|When two atoms join together, a small molecule is created.|
Mollify|to soothe in temper or disposition|I am hoping the hot tea and crackers will mollify my husband and help him relax.|
Mollycoddle|to handle someone or something in a shielding or indulging way|Since the elderly woman only lived with her poodle, she would mollycoddle the dog by providing him with expensive dog treats and a bed fit for a king.|
Molt|to peel off the outside coat or level of skin, feathers, or fur|With dead shreds of skin lying around the cage, it was apparent that the lizard did molt his skin.|
Moment|for a short unknown amount of time|“I’ll take you to the pool in a moment,” my mother said to me so we quickly got into our swimsuits.|
Momentarily|for something to happen briefly |I was momentarily caught off guard when someone sneezed during my enlightening speech.|
Momentary|brief; short-lived|A momentary loss of consciousness during a blackout didn’t last long, but was scary enough to stop the man from drinking.|
Momentous|of huge significance|It was a momentous occasion when the development team finished the project on time.|
Momism|excessive attachment to or domination by one’s mother|Momism led the helicopter mother to follow her son everywhere he went.|
Monarchy|a type of government in which an area is controlled by a monarch like a queen or king|In a complete monarchy, the royal who runs the country makes all the major decisions for the nation.|
Monastery|a place where monks live and work together|Each monk at the monastery has committed himself to a life of peaceful solitude.|
Monastic|relating to monks, nuns, or others who live a secluded life|For the new monks who had recently joined the monastery, the monastic lifestyle was quite shocking.|
Mondegreen|a word that results from the mishearing of something said or sung out loud|Singing the incorrect lyrics, the girl belted out a mondegreen into the microphone.|
Monetary|of or relating to money or currency|Our bank keeps fake bank notes with no monetary value for use in case of a bank robbery.|
Monetize|the process of converting something into money|Website builders are looking for new ways to monetize their sites outside of normal advertisements.|
Money|coins or bills used as a way to pay for goods and services or to pay people for working|More money was needed to buy the supplies to build a neighborhood treehouse.|
Mongrel|any animal resulting from the crossing of different breeds or varieties, especially a dog|The hybrid mongrel was a mixture of several types of breeds of dog.|
Monitor|to watch something carefully|A second school employee was placed on the bus to monitor the children while they rode.|
Monitory|giving a warning or reprimand|The monitory note was sent to the school district to reprimand them for their illegal actions.|
Monk|a man who has withdrawn from the world for religious reasons|When dedicating his life to the Lord, the monk took a vow of both poverty and chastity.|
Mono|an infectious disease also known as mononucleosis or granular fever and causes a high fever, sore throat, swollen lymph nodes, and exhaustion|After drinking after her infected sibling, the sister was infected with mono and ran an extremely high fever.|
Monochromatic|dull in color|The bride wanted her wedding color scheme to be monochromatic, with no bright colors to take the attention off of her dress.|
Monochrome|black and white|Representing her mood, the artist painted her monochrome self-portrait with one shade of blue.|
Monocle|an optical lens made for improving vision in a single eye|The cartoon character wears a monocle on a cord around his neck so he can easily increase the vision in his nearsighted eye.|
Monogamy|the condition of having only one spouse or partner|When my husband and I got married, we took a vow of monogamy.|
Monogram|a design that has at least two interlaced letters, usually a person’s initials|Placing the monogram on her binder, the student loved the way the glittering letters made the plain folder stand out.|
Monograph|a specialist work of writing on a single subject|The acclaimed psychologist wrote his most famous monograph on the art of manipulation.|
Monolingual|to know and communicate solely with one language|Living in a monolingual country, Sarah was limited with collaborating with people from other countries since she only spoke English.|
Monolithic|large in size and challenging to alter | Unfortunately there was no way to make the monolithic project smaller.|
Monologue|a drawn-out speech by a single person that controls a conversation |Before Ellen greets guests on her show, she always welcomes the audience with a humorous monologue.|
Monomania|a mental illness characterized by excessive obsessive or concentration on a single thing or idea|Suffering from monomania, the woman was convinced that the Mexican pop star was in love with her even though they had never met.|
Monomer|becomes a polymer when two similar molecules are joined|In order to study your DNA, each monomer had to come together to form a nucleotide in the double helix structure of your DNA.|
Monopoly|the state in which one entity or individual dominates an entire industry or market|In the game of Monopoly, players strive to own all the properties of a specific color in order to increase their rental fees.|
Monosaccharide|sugar that is in its simplest form|If I wanted something sweet, Weight Watchers recommended eating monosaccharide which is found in fruits.|
Monosyllabic|short responses, consisting of only one syllable|Ancient Chinese words were monosyllabic and easily pronounced since they were so short.|
Monotheism|the conviction there is only one deity or god|In my church we believe in monotheism, the idea of a solitary god.|
Monotone|a tone of voice that does not change|The robot speaks in a monotone expression that never alters in pitch.|
Monotonous|dull, tedious, and repetitious; lacking in variety and interest|Because Marvin was angry at his wife, he gave only monotonous responses to her questions.|
Monotony|repetition or lack of change that makes something boring|Adding seasoning to the bland stew helped break up the monotony of the dish.|
Monsoon|a strong wind in the southern portion of Asia and the Indian Ocean that carries a large amount of rain during the summer months|The monsoon has flooded the small town and kept people indoors for most of the summer.|
Monster|a made-up huge, dreadful animal or beast|When Mary Shelley created her tall, scary monster, it became known as Frankenstein.|
Monstrosity|a thing that is huge and extremely unattractive|The new hotel is a monstrosity that blocks my view of the beach.|
Monstrous|huge; enormous|The monstrous elephant trampled through the jungle crushing everything in its path.|
Montane|residing or belonging to an area with rugged and rolling slopes and a forest-like region|With a montane vegetation, the people living in the rural area knew that they could only produce certain types of crops on such an incline.|
Monument|a large structure or sculpture that symbolizes a notable person or event|Touring the monument allowed the students to get a true experience of what happened at that battle.|
Monumental|important; significant|A monumental and historic decision was made by the Supreme Court regarding marriage rights.|
Mood|disposition; temperament|The worker was so exhausted and irritable that literally anything could cause her mood to plummet.|
Moody|glum or temperamental feelings|Since the toddler didn’t take a nap today, she was moody for the rest of the evening.|
Moon|the lunar body that rotates around planets |Studying the craters on the moon allowed the scientists to get a better idea of how much water could be found on the moon.|
Moonlight|the beam from the moon |The only light shining on the street was the moonlight since all the streetlights had been broken.|
Moonstruck|confused and unable to think/act normally after falling in love|The moonstruck adolescent will do anything he can to keep his teenage love burning strong.|
Moor|to tie up a ship|There are thousands of yachts that moor at the marina.|
Moored|to secure a boat to a dock or to an anchor by a cord, cable or chain|Fisherman will usually double check to make sure their boat is moored in their marina so it won’t drift away.|
Moose|a big animal belonging to the deer family that has hanging fur from his neck plus large antlers |To show off their kill, the hunter mounted the head of the moose on his wall.|
Moot|having no real point|Federal legislation will override the states’ concerns and make them moot.|
Mope|to carry oneself in a depressed, spiritless manner|With her lip poked out, the young girl continued to mope around the house.|
Moral|a lesson|Parents tell their children the story of The Boy Who Cried Wolf because the moral teaches them not to lie.|
Morale|the enthusiasm a person or group has about their duties|Since the soldiers have not seen their families in a long time, their morale is at an all-time low.|
Moralistic|quick to judge others based on a narrow view of what is right and wrong|The moralistic pastor called out members of his congregation for what he saw as sinful behaviors.|
Moralize|to express opinions about whether specific actions are good or bad|Aesop wrote fables to moralize, helping parents teach their children right from wrong.|
Morass|a complicated or confusing situation|Even the smartest lawyer will find it difficult to find a solution for this legal morass.|
Moratorium|the pausing of an ongoing activity |An avid fisherman, Billy was upset when he learned of the fishing moratorium.|
Morbid|associated with subjects that are unpleasant, like death|The boy’s morbid fascination with death led him to collect dead animals.|
Morbidity|the quality of being unhealthful|Even the hardened criminal squirmed at the morbidity of the crime scene photographs.|
Mordacious|having an abrasive attitude or using abrasive words|After the young man cut line at the grocery store, the woman had some mordacious words which embarrassed the man.|
Mordant|having a scathing wit|The mordant mother often used harsh words that made her son cry.|
Moreover|further|For many small companies, moreover, the ability to purchase cash is limited.|
Mores|customs and traditions of community|Social mores of the area insisted that men and women who are courting not spend time alone before marriage.|
Morgue|a building or room where dead bodies are kept before their proper burial or cremation|After the fatal accident, the deceased victim was removed from the vehicle and taken to the morgue until the autopsy took place.|
Moribund|being in the state of dying|Because the wounded man has lost a great deal of blood, he is moribund and probably will not make it through the night.|
Morning|the period of time between midnight and noon|Each day, I rise with the sun and start my early morning workout routine.|
Moronic|foolish or stupid|The man’s moronic statements made no sense to anyone listening to his rant.|
Morose|feeling sad, in a bad mood, and not wanting to talk to anyone|When her dog died, the little girl was morose for months.|
Morosely|in an unhappy manner|The dog stared morosely at the front door while waiting for its owner to return.|
Morphology|the biological study of the size, shape, and structure of animals and plants|Due to its morphology and body makeup, only reproductive ants have wings.|
Morsel|a small piece of food|Devouring the last morsel of cake, the woman realized that sticking to her diet would be harder than she had anticipated.|
Mortality|being subject to death|Questioning his own mortality, the elderly man thought back over the many events of his life.|
Mortar|a strong bowl used to press or grind a substance into a powder|After the pharmacist used the mortar and pestle to crush the pills, he took the medicine and stirred it into the liquid.|
Mortgage|a loan given from a financial institution for a person’s property which causes the person to pay it back plus interest|The newly married couple checked the rates on the mortgage to determine how much they would have to pay for their dream home.|
Mortician|the person who is in charge of a funeral including preparing the deceased body |Often viewed as a scary job, the mortician actually performs a service that is needed by the community.|
Mortification|extreme embarrassment and shame|Although Michael never laid a hand on her physically, she had to endure emotional abuse and mortification because of the way he talked to her in front of other people.|
Mortify|to put someone in the position of being embarrassed|If my mother picks me up from school in her pajamas, she will mortify me in front of my friends.|
Mortuary|a funeral home or morgue|Embalming several hundred bodies at the mortuary, the funeral worker was an experience funeral director.|
Mosaic|a hard embellishment that is created by pushing tiny segments of dyed glass or stone into a pliable substance|The little girl was fascinated by the colorful mosaic that comprised the church’s window.|
Mosquito|a disease-carrying, flying insect that is found in warm environments and sucks the blood of those it bites|The mosquito buzzed around the room, irritating those trying to enjoy an afternoon siesta.|
Moss|a small, flowerless green plant that reproduces through spores in wet places|Scientists have proven that algae adapted to life on earth, growing into other plants including green moss.|
Most|greatest in amount, degree or number; superlative of much or many|After Dan retired from the Army, we decided to move back to our home state where most of our friends and family live.|
Mote|a tiny piece of something|A small mote of glass entered my foot, so tiny that I wasn’t able to pull it out without tweezers.|
Mother|the female biological parent of a child|Every mother wants their daughter to grow up to be just like them in every aspect.|
Motherhood|the state of being a mother to a child|Motherhood proved difficult for the young woman who had little experience with babies before the birth of her son.|
Motif|a reappearing theme in a creative person’s work or style|Death is the depressing motif that appears in each of the artist’s paintings.|
Motility|the ability to move around in fluid|Personal lubricants can interfere with sperm motility and hinder sperm from being able to make it to the egg.|
Motion|the process of moving|Putting the ball into motion, the pitcher prayed that the batter would not make contact.|
Motionless|to be still or stopped|Once I noticed the motionless man sitting on the park bench, I thought he was asleep.|
Motivation|the drive someone has for conducting himself or herself in a certain way|Usually the only motivation for teenagers going to school is to socialize with their friends.|
Motive|a reason; motivation|Although he had no motive to commit the crime, police were sure that the suspect was innocent.|
Motive|reason; purpose|With several clogged arteries, the unhealthy man had a serious motive to lose weight and get fit.|
Motley|made up of strikingly different components|The motley group of job applicants included a retired teacher, a recently released convict, and a sixteen-year-old girl.|
Motor|a piece of equipment that is powered by ignition or a form of electricity in order to operate a machine |Mechanics know exactly how to take apart a motor and put it back together in a matter of minutes.|
Motto|a motto is a phrase about values and beliefs|The personal trainer’s motto is, “No pain, no gain, remain the same”.|
Moue|a pouty expression made with the lips to show annoyance or disapproval|Giving a lip-quivering moue, the spoiled girl was able to get her way with her parents.|
Mould|a hollow container that gives shape to a liquid poured into it once it has cooled or is frozen|I forgot to spray the mould with oil, causing the waffle batter to stick to the frame while cooking.|
Mound|an elevated heap or pile|Rolling down the steep mound, the children laughed as they turned over on the dirt.|
Mount|to climb or get on something|Trying to mount the horse, the nervous rider fell of several times before actually getting on.|
Mountain|an area of elevated land that rises very high above the land around it|As an experience mountain climber, the explorer knew the importance of pacing yourself on a long trek up.|
Mountainous|filled with many mountains|The mountainous area is so hilly, its tall peaks making it virtually uninhabitable.|
Mountebank|an individual who tricks others|The mountebank made his living by conning elderly widows out of their life savings.|
Mourn|to grieve and be extremely saddened by a loss|It has been years since her mother’s death, but Debra continues to mourn her loss.|
Mournful|filled with grief or sadness|The mournful sounds emerging from the funeral parlor made me very sad indeed.|
Mourning|mourning means a time to show deep sorrow|At the funeral, the crowd was mourning and celebrating the loss and life of a loved one.|
Mouse|a mouse is a small rodent|I wasn’t sure if I saw the cat eat a rat or a mouse.|
Mouth|a mouth is the opening at the lower part of the face|Your hands could be contaminated so please don’t touch your mouth until you wash them.|
Mouthful|a long or complex amount of words that is difficult to say|My friend challenged me to say a tongue twister three times fast, but it was such a mouthful that I couldn’t manage it.|
Move|move means relocate|Instead of standing still in line, the children chose to dance and move the entire time.|
Movement|the process of changing places or positions|Sudden movement in the back of the house sent the dogs barking and startled their sleeping owner.|
Movement|the act of changing one’s location through motion|The science teacher taught the students that the back and forth movement of the water was called tides.|
Movie|a recording of movie images that tells a story|The movie theater plays several new films a week while retiring older ones.|
Mown|having had the grass cut down in a yard or field|My neighbor’s tall grass has not been mown in over three months!|
Moxie|the ability to face challenges with a courageous and determined attitude|The mountain climber proved his moxie by refusing to give up when faced with another dangerous peak.|
Much|a great amount|Much of the island is completely covered by forests, with only a few areas being developed.|
Muck|muck is dirt or waste|Our old truck was filthy since it was covered with gravel, muck, and dirt.|
Muckraker|a person who spreads damaging rumors about another individual, generally for political gain|Although the journalist likes to think of himself as a do-gooder, he is actually a muckraker who writes false stories about politicians.|
Mudslinging|the use of insults and accusations as a way of tarnishing someone’s reputation|Because of their constant mudslinging, both political candidates were known as slanderers.|
Muffle|to deaden sound by covering or wrapping|Example sentences for Fiduciary. Read this page and learn how to use Fiduciary in a sentence.|
Mug|a mug is a large round cup|On a cold winter day, I sipped the mug of hot chocolate as I watched my favorite movie.|
Mugwump|a term for 1884 Republicans who voted for the Democratic candidate (Grover Cleveland) over their own party candidate who they viewed as corrup|Independent and liberal, the mugwump refused to vote Republican in the 1884 election and submitted his ballot for Cleveland instead.|
Mulatto|an individual of black and white descent|The mulatto girl has a black mother and a white father.|
Mulct|the extort money from someone|The unethical reporter managed to mulct $500,000 from the corrupt police department.|
Mule|a carrier of things for someone else|As a mule for the drug cartel, the shady man was paid to carry narcotics into the United States.|
Muliebrity|womanly qualities; femininity |The sexy songstress’s muliebrity set her apart from the less feminine women in the club.|
