Rogue|a person without principles; a dishonest individual|Although the rogue was engaged to be married, he found it easy to flirt with other women.|
Rote|without thought; by habit or routine|By singing the alphabet song throughout the day, my daughter is learning her letters by rote.|
Rotten|something that has decayed or deteriorated and is no longer fresh|The rotten fruit sitting in the garden began to stink and attract flies.|
Rotund|rounded in figure, plump, fat|The jovial man’s rotund belly bounced wildly as he tried to jump rope with the kids.|
Rough|Having a surface that is irregular not smooth|Rough seas tossed the boat high in the area, causing it to sink.|
Roughly|violently and forcefully|The seizing plane shook roughly as it flew through an area of extreme turbulence.|
Roulette|a gambling game in which players bet on which compartment of a revolving wheel that a small ball will land in|As the ball spun around the roulette wheel, the gamblers bet on which number it would land in.|
Roundup|to gather people or animals together|When it was time to eat lunch, Mrs. Hall had to roundup all of the children and brought them into the school cafeteria.|
Rouse|to make excited or enraged|The presence of the minority police officers will rouse the racist group even further.|
Rout|a defeat of an individual, army, group, or team|After the dictator’s rout, the people finally had control of their country.|
Route|a course or path to take to get somewhere|After digging a 300-foot long trench, the water would travel down this route from the place where I first started digging and dumping it into the river.|
Routine|activities performed at fixed times for intervals|The teacher explained the classroom routine to students so they would know when it was time to go to lunch.|
Row|a straight line of something|Each row of corn was planted neatly in the field section by section.|
Rowdy|wild in a loud or typically obnoxious manner|The rowdy patrons at the bar were loud and especially irritating in their words, making the night less enjoyable for everyone present.|
Royalty|the status or power of a king or queen or his or her family|Because he is royalty, the queen is in charge of running the entire kingdom from her throne.|
RSVP|to reply to a social request|Since we had nothing to do next Friday night, we decided to RSVP to the party by calling our friends and letting them know we would be there.|
Rub|to massage or kneed something by moving one’s hand or an object back and forth|The massage tech moved her hands back and forth to rub out the tension in the man’s back.|
Rubbish|garbage|After trimming around the good part of the meat, the remainder of it was simply rubbish which I threw away.|
Rubble|the pieces that remain after a structure is destroyed|The hurricane turned several oceanfront homes into piles of rubble.|
Rube|an uneducated or uncultured person that is from a rural area|The city boy considers his country cousin an uncultured rube since he knows little about art or classical literature.|
Rubicon|a boundary that is crossed without being able to return|In my science fiction story, the young man crossed over the Rubicon into another dimension knowing that he will stay there forever.|
Rubicund|bearing skin that is pink or red in color|The sunburn made his face rubicund in appearance.|
Rubric|a set of guidelines used to grade an assignment|Sarah really needed a good grade in English in order to pass the course so she looked at the rubric before writing her next essay.|
Rucksack|a sturdy bag with straps that is worn on the back, usually by hikers or campers|After placing his rucksack on his back, the hiker prepared for his long march up the mountain.|
Ruckus|a commotion or disturbance|Due to the ruckus in the motel room next door, it woke my whole family up.|
Ruction|a loud fight or disturbance|The ruction in the cafeteria started when one student threw a lunch tray at another student.|
Rudder|a part of a ship or vehicle found underneath that is used to turn the vehicle from side to side|When the Titanic was raised into the air, the people in the lifeboats could see the rudder that was underneath the ship.|
Ruddy|having a wholesome red skin color that generally comes from being outdoors a lot|The pasty teenager got a ruddy tan after spending most of her summer on the soccer field.|
Rude|to be impolite or disrespectful|Since the child was spoiled throughout his life, his way of speaking to others always included his rude manners.|
Rudiment|the start or beginning of a concept or plan|My friend’s addiction to my chocolate cupcakes was the rudiment of my successful bakery.|
Rudimentary|basic; minimal|You need to have at least a rudimentary understanding of technology before you can upload a video on that website.|
Rudiments|the simple skills or facts needed to begin or learn something|In French 101, students will learn the rudiments of the language.|
Rue|to experience regret or sorrow|My husband will rue the day he ever cheated on me!|
Rueful|displaying regret and/or sorrow for one’s actions|The rueful dog looked pitiful after it chewed up its blanket.|
Ruefully|in a way that expresses regret|The little boys ruefully apologized for breaking the window.|
Ruffian|a violent individual who more than likely engages in criminal activity|The ruffian became violently angry when the cashier refused to sell him alcohol.|
Ruffle|to annoy or upset someone or something|“I didn’t mean to ruffle your feathers when I told you that your dress looked ugly,” the teenager told her classmate.|
Rug|a small fabric mat used to cover part of the floor|“Wipe your feet on the rug,” the mother told her muddy son as he entered the foyer of their house.|
Rugged|describing a rough uneven area of land|Since there are so many rocks on the island, the terrain is extremely rugged.|
Ruin|to damage or wreck|Her face reddened when I seemed to ruin the young girl’s dress after accidentally spilling wine on it.|
Ruinous|causing ruin; destructive|The ruinous policies of our principal caused many of the students to leave the school.|
Rule|a law or regulation that tells what actions should or shouldn’t be done|Our state has put a law in place requiring everyone in a moving car to wear a seatbelt.|
Rumble|to roar or thunder|A rumble in the sky alerted the washerwoman that a storm was brewing.|
Ruminant|a type of animal with a four-chambered stomach hat brings up food from its stomach and chews it again|The water buffalo is a ruminant, which means it has a four-chambered stomach.|
Ruminate|to think deeply about something|Although I knew I cared deeply for Henry, I still had to ruminate on his marriage proposal for a while.|
Rumination|persistent and repetitive thinking|Constant rumination plagued the mind of the obsessive inventor who was unable to free himself from his thoughts.|
Rummage|to look for something by searching through the contents in an area|The dog will rummage through the garbage for food when it gets hungry.|
Rumor|gossip or a story that is circulating but not confirmed as true|Like junior high school girls, the gossiping women spread the malicious rumor all around the office tower.|
Rumor|a circulating story or tale that is probably not true|Allie was embarrassed by the nasty rumor and swore that she wasn’t dating two boys at the same time.|
Rumpus|a commotion or noisy disturbance|When the teacher began the class with a pop quiz over the difficult previous lesson, a rumpus among the students erupted throughout the room.|
Runaway|a person or thing that has run away from a place or situation|The runaway bride flew from the alter after becoming too afraid to marry her fiancé.|
Rung|struck a bell or an object with a bell|The schoolmaster rung the bell to let everyone know the class was ready to start.|
Runoff|an extra election or contest used to decide a winner when the first event failed to result in a clear victor|Since the vote was too close to count between two of the candidates, there will be a runoff next month.|
Runt|the smallest animal of a litter|The runt was the smallest, weakest, and cutest of the entire poodle puppy litter.|
Rupture|a crack that interrupts peaceable relations|The missile launch is sure to rupture the relationship between the two countries.|
Rural|areas that are not in an urban environment|My father and his friends often leave the city to go hunt game in rural areas.|
Ruse|a plan or plot to mislead someone|The security guard knew the girls were going to try and use a distractive ruse in order to shoplift.|
Rush|to move quickly usually due to being late or something urgent|Brad had to rush around the house looking for his uniform when he woke up late for school.|
Rust|corrosion or oxidation that occurs when certain types of metals get wet|Because the child left his bike in the rain, orange rust covered his metal chain.|
Rustic|having a country or simple style|The rustic cabin was filled with hand carved furniture.|
Rusticate|to suspend a student from a university as punishment|Ruling to rusticate the student, the college’s board of directors sent him home for cheating.|
Rustle|to move (something) with a soft crackling sound|It was a lovely fall day watching the leaves change color and rustle in the wind.|
Rustling|making light sounds because parts of something are touching each other|Rustling his change together in his hand, the boy thought long and hard about how he wanted to spend his coins.|
Rut|a habit or pattern that is hard to change|The prize-winning horse seemed to be a rut this year, having come in dead last during the past three races.|
Rutted|having deep grooves from wheels driving over something consistently|Rutted sections of the gravel track caused the bicyclist to flip his bike after hitting a dip in the road.|
Sabbath|a day set aside for religious observation including worship and rest|Many stores in the U.S. are closed on Sunday as the Sabbath day is regarded as a time for rest.|
Sabbatical|extended period of leave|The pastor’s sabbatical was related to his health issues.|
Saber|a long, heavy sword with a curved blade|An inseparable element of the ninja costume was the curved saber that was used to ward off enemies.|
Sable|a weasel-like mammal with warm fur that is often used to make clothing|The sable is best known for its soft pelt, making it a popular and valuable mammal for the fur industry.|
Sabotage|to deliberately damage or destroy something in order to prevent it from being successful|He felt his girlfriend would sabotage his efforts to succeed, leading him to break off the relationship.|
Saboteur|a person who practices sabotage|A saboteur was not needed since the political candidate’s constant scandals ruined his own campaigns.|
Saccharine|romantic or sentimental to the point of sounding silly |The foolish man at the bar thought he could pick me up with a saccharine line.|
Sack|a bag made from strong materials such as burlap that is used to carry goods|Reaching into the sack, the boy took out his lunch and began to eat the goodies his mother had packed.|
Sacrament|a formal religious rite or ceremony|According to the church, April can’t receive the communion sacrament because she is a divorced woman.|
Sacred|holy; divine|If you disturb the god's sacred shrine, some people believe you will be instantly killed.|
Sacrifice|to give up something valuable to help someone else|I decided to sacrifice my illustrious career to raise my family.|
Sacrificial|relating to sacrifice|Giving up your umbrella for someone else is a sacrificial act.|
Sacrilege|the corruption of something considered holy|It is considered an act of sacrilege for anyone to touch the sacred statue.|
Sacrilegious|acting in a disrespectful manner towards something or someone considered to be holy|Burning the Bible is a sacrilegious act.|
Sacrosanct|too important or respected to be criticized or changed|Woodland Hills Cemetery is sacrosanct and cannot be moved to another plot of land because of the large number of deceased soldiers who are buried there.|
Saddened|very upset and depressed|Saddened by the loss of his mother, the young boy could do nothing other than cry.|
Sadder|filled with more sorrow or grief in comparison to someone, something else, or another time|Losing a loved one is always difficult, but I was much sadder the day by grandmother died than during any other loss.|
Saddle|a leather covered seat used to ride an animal|Placing a saddle on the horses back, the cowboy prepared for his long journey.|
Sadistic|delighting in or feeling pleasure from the pain of others|Doris feared being kidnapped by a sadistic maniac.|
Sadly|unfortunately and regrettably|I pretended to react sadly to the news of my husband’s departure, but I was really overjoyed.|
Sadness|being filled with sorrow or grief|None of the social worker’s college courses could prepare her for the deep sadness and grief experienced by the children being removed from their homes.|
Safari|a journey to see or hunt animals, especially in Africa|Animals of the African savannah were crowded out by tourists wanting to snap photos on safari.|
Safeguard|to take appropriate measures in order to protect something from harm|Washing your pillows and sheets in hot water can safeguard against a lice infestation.|
Safety|security or well-being|Because the hurricane poses a risk to their safety, the family has decided to evacuate.|
Sag|to droop down to a lower level|The sandcastle began to sag in the middle as water filled the top of the construction.|
Saga|a lengthy and complex sequence of experiences|The author’s second novel is the continuation of the saga she started in her first book.|
Sagacious|intelligent; showing good judgement|Wise and full of insight, the sagacious leader would live on to better the world.|
Sagacity|ability to make good judgments and decisions|While many people believed he was stupid, the politician’s sagacity allowed him to realize he would not be elected again.|
Sage|a wise individual who gives others helpful advice|The sage of the Indian tribe was able to heal the badly wounded man.|
Sail|to travel in a boat, especially one with material extended on a mast to catch the wind|With sails up and the wind blowing, the pirates prepared to sail their ship to their next destination.|
Sailor|one whose occupation is on board a ship at sea|The sailor asked to move to quarters on a different deck since he stayed seasick most of the time.|
Saint|a title given to someone regarded as holy and virtuous after his or her death|Believing that her prayer would be answered, the worshiper cried out to the departed saint for deliverance from her situation.|
Sake|done for a reason, explanation, or advantage|The mother sacrificed her livelihood and lifestyle by devoting all of her time and energy for the sake of her children.|
Salacious|promoting sexual desire or lust|The salacious content of some popular novels has led parents to demand that they be removed from school libraries.|
Salary|a determined yearly amount of money paid to an employee by an employer during a job|Before accepting the position at the law firm, I negotiated my salary to be $3,000 more.|
Salient|most important or prominent|When I look at the house for sale, salient defects such as the broken windows stare back at me.|
Saliva|wet liquid substance produced from glands in the mouth|Suspects in a crime are required to submit their DNA by having their saliva tested with cotton swabs.|
Sallow|having an unnatural yellowish or pale skin color|Since Jana spent the entire winter inside, her complexion was sallow and unnatural when she finally went outdoors.|
Sally|a quick attack|Knowing the home intruder would find me in the closet, I decided to spring a surprising sally upon him with any weapon I could find.|
Salon|a lovely room usually in the front part of a house used for welcoming and amusing visitors|After purchasing the mansion, the homeowners first decorated the salon since that is the place their friends would most likely be entertained.|
Salubrious|something that is good for you or is beneficial to mind or body|Vegetables are salubrious foods which provide essential nutrients.|
Salutary|producing good benefits|The board hopes the merger of the two companies will have salutary effects that will leave all the shareholders happy.|
Salutation|a demonstration of a greeting|It is customary to begin your letter with some type of salutation.|
Salutatorian|someone who graduates with the second best GPA in their class|Isabel knew she had big shoes to fill at Leonard High School since her father was valedictorian and her mother was salutatorian of this school twenty years ago.|
Salute|to show distinction to someone by raising the right hand using a certain gesture|During the military funeral, everyone notices the officer’s salute to the coffin as it passed by.|
Salvage|something pulled out or saved because of its value|The metal salvage we got from the old car is worth a tidy sum.|
Salvation|a thing that rescues a person or object from a dangerous situation|When the shipwreck survivor located a box of food, he knew he'd found his salvation.|
Salve|a cream or liniment that is used to moisturize and soothe the skin|Models for the cosmetic company were required to use a salve in order to have flawless skin for the commercials.|
Salvo|an act of firing two or more guns or other weapons at the same time|The soldier loaded his gun in order to complete the salvo.|
Samurai|Warriors of pre-modern Japan|Japanese Samurai warriors of the Edo period were the highest ranking class from the 1600-1800s.|
Sanctify|to make something holy|The priests have to sanctify the holy water.|
Sanctimonious|pretending to be better than others on a moral level|Even though the minister had been arrested for shoplifting, he still had the nerve to act sanctimonious in front of the congregation.|
Sanction|give official permission or approval|Because of the school’s behavioral problems, the principal is unlikely to sanction a school dance this year.|
Sanctity|the condition of being holy or having great value|According to many religions, it is a sin to terminate the sanctity of the marriage vows.|
Sanctuary|a place where one goes to be safe or to escape from life|My family knows not to bother me when I am relaxing in my sanctuary.|
Sanctum|a private place where no interruptions occur|Deep inside the sanctum, the lovers were able to enjoy each other’s company with no chance of being discovered.|
Sane|of sound mind and sensible|Wearing earplugs was the only way for the worker to stay sane in the noisy boiler room.|
Sangfroid|composure that is maintained even under great stress|Even as the building fell around him, the fireman maintained his sangfroid and rescued the little girl.|
Sanguinary|associated with events that produce bloodshed|The sanguinary fight left one of the students covered in blood.|
Sanguine|optimistic, hopeful, or confident about the future|Although the economy is looking better, we should still not be too sanguine about the future.|
Sanitarium|a hospital where people are treated for mental illnesses or chronic diseases|When he couldn’t handle the pressure anymore, the man’s depression got the best of him and he retreated to a sanitarium.|
Sanitary|to be clean and hygienic|After wiping the counter using a disinfectant spray, I knew the counter was sanitary for cutting vegetables.|
Sanitation|the process of maintaining cleanliness|Unfortunately, the sanitation crew wakes me up every Saturday from a sound sleep to take our trash from the driveway.|
Sanity|the condition of being mentally sound|Because the children were eager to get their inheritance, they challenged their elderly mother’s sanity in court.|
Sans|without|My plate was filled with steak and potatoes but sans shrimp since I am allergic to seafood.|
Sapid|having a strong and savory taste|The sapid steak was more appetizing than any other meat in the café.|
Sapience|wisdom combined with discernment|The difficult exam required both sapience and logical reasoning skills.|
Sapient|displaying great knowledge or insight|My sapient mother has helped me deal with a lot of relationship issues.|
Sapling|a young, skinny tree|A birch sapling grew in the middle of the forest as all the other trees had been chopped down.|
Saponaceous|pertaining to bubbly and soapy|After I drove into the school’s fundraiser car wash, two students poured a saponaceous substance covering my vehicle with white foam.|
Saporous|full of flavor; good-tasting|Stirring the saporous stew, the chef couldn’t wait to serve his flavor-packed simmer to his guests.|
Sappy|Overly sentimental or sweet|Viewers reviewed the overrated television drama as sappy and overly romantic.|
Sarcasm|a biting remark spoken to convey the opposite meaning|While Jason is amused by his sarcasm, no one else likes his smart remarks.|
Sarcastically|saying the opposite of what one means in a mocking or joking way|Joking sarcastically, the woman said, “Not all men are annoying, some are dead.”|
Sarcophagus|a stone coffin from ancient time|Peering into the sarcophagus, the archeologist’s eyes lit up when he saw the intact remains.|
Sardonic|displaying disrespect in a scornful way|Jim’s sardonic laugh made his parents angry enough to stop paying his cellphone bill.|
Sartorial|relating to clothing, fashion or dressing|Those with a developed sartorial sense can tell a cheap suit from an expensive one.|
Sashay|to walk in a way that attracts attention|Several high fashion models sashay down the runway by swinging their arms and their hips to the rhythm of the music.|
Sassy|feisty and vivacious|With a strong personality, the sassy girl would always answer the teacher’s questions in a funny and upbeat way.|
Satchel|a bag, often with a strap|Tossing his satchel over his shoulder, the mailman continued down his route.|
Sate|to satisfy; fill up|My family’s huge get-togethers are filled with so much food, they can sate the hungriest person.|
Sated|satisfied to the fullest; had more than one could enjoy at one time|Sated from the huge family feast, the stuffed couple retired to their bedroom for a midday nap.|
Satellite|a man made device used to collect information while orbiting around the Earth, moon, or another planet|A satellite recorded images of the house from way up in the sky and displayed them on the website.|
Satiate|to satisfy fully|Hopefully this feast I am preparing will satiate your hunger.|
Satiety|the state of being satisfied or full after consuming food|Sarah reached satiety and felt content after tasting every item on the buffet.|
Satire|a literary work or device that makes fun of its subject|The latest biography of the president is a satire designed to mock the leader.|
Satirical|having the qualities of mockery, sarcasm and ridicule|After reading the satirical piece of literature, I didn’t know whether to laugh at the sarcastic remarks or feel angry at it.|
Satirize|cleverly make fun of something|The poet looked for a way to satirize the boring poem and give it a more humorous appeal.|
Satisfaction|gaining joy or happiness from an achievement|Nothing brought her more satisfaction that pulling perfectly baked cupcakes from the oven.|
Satisfactorily|in a way that is adequate and meets expectations|Both students completed their tests satisfactorily and used their high scores to apply for top colleges.|
Satisfactory|adequate; satisfactorily acceptable|A satisfactory number of contestants must register for the contest in order for it to take place.|
Satisfactory|acceptable or good enough; meeting all requirements|Though her test scores were satisfactory, the test taker was sad she didn’t make a 100.|
Satisfied|content and okay with the way things are|The teacher was not satisfied with her student’s work, so she asked him to redo the inferior essay.|
Satisfy|to be of acceptable standards|In order to graduate from her high school, Lily had to take one more math class to satisfy the graduation requirements.|
Satrap|a local governor in the ancient Persian Empire|A satrap that served under King Darius were responsible for governing a Persian province.|
Saturate|to fill something to the utmost capacity|The company hopes to saturate the market with their products so consumers will think of its brand first.|
Saturation|to fill something or a place so completely that no more can be added|Because of market saturation, it would be silly to build another coffee shop in the area that has ten already.|
Saturnine|sad and solemn|The dog’s eyes became saturnine whenever he was left at home alone.|
Satyr|a creature of Greek mythology composed of a man and a goat that inhabits the wilderness and is known for its fondness of wine and women|Taking the form of a satyr, the mighty Zeus took the woman to be his own and retreated into the woods.|
Sauciness|something said rudely or in an ill-mannered way|As a result of the sauciness in his voice, the teacher sent the teenager to the principal’s office.|
Saucy|rude and cocky, usually in a lively way|With a saucy attitude, the waitress was able to engage and irritate customers at the same time.|
Saunter|to walk at a relaxed speed|Once it started to rain, we decided to saunter through the park another day.|
Sauntered|strolled at a unhurried pace|The teenage boy sauntered through the school as though he did not have a care in the world.|
Saute|to fry food quickly in hot oil|In order to saute the vegetables, the chef quickly increased the temperature on the stove and dropped in a pat of butter.|
Savage|out of control; untamed|The savage attack left the woman fighting for her life.|
Savagely|to do something brutally and viciously|When the dog incessantly barked, the hot-tempered man savagely beat the dog resulting in a bloody mess.|
Savagery|an exploit involving brutality and viciousness|Judge Watson handed the defendants the maximum sentence under Virginia law due to the savagery of the crimes.|
Savanna|a big area of grassy land that has few trees and is generally found in South America and Africa|With few trees on the savanna, the tourists had little escape from the heat.|
Savannah|an area covered with fields of grass and a few trees|While traveling across the savannah, the tribe realized this would be a perfect place to shoot the roaming game for its meat.|
Savant|one who knows a great deal about a specific topic|Although Jason is mildly retarded, he is also a chess savant who is considered to be one of the best players in the world.|
Save|keep and store up (something, especially money for future use|In order to save money, the family decided to stop going out for coffee and make it at home.|
Savor|to take delight in something for a long period of time|The team will savor the championship victory for years to come.|
Savory|having an appealing smell or taste|I could not stop eating the savory soup.|
Savvy|sharp; perceptive|Your help desk agent should be savvy about all the features of your company’s software.|
Saxicolous|growing or living among rocks|Lichen is a saxicolous organism that arises from algae and thrives on fresh rock.|
Saying|a simple statement that expresses some kind of truth or wisdom|The saying ‘love is blind’ means that people who are in love often ignore things that are very obvious to everyone else.|
Scabbard|a case that shields a dagger or sword|The pirate pulled his sword out of the scabbard attached to his belt.|
Scabrous|lewd and obscene|The scabrous magazine was regarded as a lecherous and vulgar publication.|
Scaffold|a temporary structure that holds laborers while they work on a building|The painting crew will earn over fifty thousand dollars for the job, but must pay three thousand for the new scaffold to hold the laborers.|
Scaffolding|a system of temporary structures that hold laborers while they work on a building|Three stories of scaffolding towered over the side of the building while the final coat of paint was being spread.|
Scalawag|an individual who causes trouble|Late last night, the neighborhood scalawag decorated the school with toilet paper.|
Scald|to be hurt by a scorching fluid|Even the smallest splash of hot oil on my skin would scald it causing severe burns.|
Scale|an instrument used to measure the weight of something|A scale was used to measure how many pounds each wooden block is.|
Scam|an immoral way of cheating someone out of their money or causing unsafe situations|After asking for a large sum of money, I knew the job was a scam because the people did not represent the company.|
Scamp|A playfully mischievous child|While his parents were sleeping, the little scamp snuck into the cabinet and ate all of the cookies.|
Scamper|to move quickly with light steps|Watching the squirrel scamper up the sidewalk was the highlight of the toddler’s day.|
Scan|to look at something carefully in order to find something|As he continued to scan the horizon, the hunter was able to spot a flock of geese in the distance.|
Scandal|an event that causes public outrage|The tax credit scandal led to the arrest of a high profile CEO and his shady accountant.|
Scandalize|to shock someone by doing something horrifying or immoral|The nun’s marriage to the priest was enough news to scandalize the entire town.|
Scandalous|an action or event that is considered outrageous or indecent|Senator Sill refused to answer the reporter’s question about his scandalous behavior last month.|
Scant|a tiny amount|We have to ration the water because we only have a scant amount.|
Scantling|a small portion of something|Because it is strong and very expensive, a scantling of saffron goes a long way in the couscous.|
Scanty|less than what is needed|Since the airline lost two of my bags, I have scanty clothing for my vacation.|
Scapegoat|a person or group made to bear the blame for others or to suffer in their place|Because the detectives could not catch the real killer, they arrested a vagrant as a scapegoat to calm the worried public.|
Scar|to permanently wound something or leave a permanent mark on it|The gash I received on my leg during the war will scar me for life, healing but always leaving a mark on my skin.|
Scarce|limited or sparse in number|Food was scarce during the Holocaust because many people were not allowed to grow their own food and had to ration what they had.|
Scarcity|a lack of something needed|The scarcity of water in the small town is destroying the livelihoods of most of the farmers.|
Scare|to frighten or make someone afraid|On Halloween, the teens dressed like spooky ghost and goblins to scare the younger children in the neighborhood.|
Scarify|to make scratches or small cuts into something|If you scarify a seed by cutting it before planting, it will grow better in the ground.|
Scarlet|a bright red color|Because she loves the color red, Tammy wears a scarlet dress to every event she attends.|
Scathe|to harm or injure|The would-be killer attempted to stab his ex-wife but got away before he could scathe her.|
Scathing|extremely severe or harsh|The scathing remarks brought tears to my eyes.|
Scatter|to throw in various and often random directions|The old woman sitting in the park would occasionally scatter birdseed around her to attract the fowl in the area.|
Scavenger|someone who scavenges, especially one who searches through rubbish for food or useful things|The vulture is considered a scavenger because it searches for dead prey.|
Scenario|a situation that could possibly happen|Before we launch our product, we need to have a solution for every scenario that could arise.|
Scene|the location or site where something occurs|Right after the accident, police arrived on the scene to help the crash victims.|
Scenery|the natural features of the land|They newly engaged couple stood at the top of the Grand Canyon and took in the dazzling orange scenery.|
Scenic|describing a view of nature that is beautiful or impressive|The White Cliffs of Dover are widely regarded as one of England’s most scenic locations, with a unique view that you won’t find almost anywhere else.|
Scent|a distinctive, often pleasant smell|I could not identify the sweet scent that lead me into my Grandma’s kitchen until I walked in to discover her baking bread.|
Schadenfreude|the sense of enjoyment that comes upon hearing about the problems of others|Summer was a strange woman who took joy in the suffering of others and always experienced schadenfreude when her friends were miserable.|
Schematic|a drawing or sketch using abstract, graphic symbols that shows how a system works in a simple way|While producing the schematic drawing of the Graystone Building, the architect began to assign tasks to start the project.|
Scheming|making underhanded or sneaky plans|Myra suspected that the whispering children where probably scheming and planning a weekend sleepover.|
Schism|a split or separation within a group or organization|The schism between my two best friends put me in the awkward position of having to choose one over the other.|
Schizophrenic|a person suffering from schizophrenia, a mental disorder characterized by abnormal social behavior and failure to understand what is real|The therapist specialized in creating behavior modification plans for people with schizophrenic disorders.|
Schlep|to haul or carry something heavy or awkward|The hikers had to schlep down the mountain carrying their heavy bags and other gear.|
Schlump|a lazy and sloppily dressed person who does everything in a slow or dull way|The lazy schlump sleeps in class when he does show up and rarely ever participates in discussions.|
Scholar|a highly educated person who attends school and studies|As a lifelong scholar, the specialist spent most of his years buried in academic studies.|
Scholarly|academic; intellectual|The scholarly student spent hours studying each day.|
Scholastic|related to academic studies or education|The teacher gave out scholastic awards to the students who worked the hardest during the school year.|
Scintilla|a small amount of something|Because it has strong flavor, the recipe called for a scintilla of sesame oil.|
Scintillating|remarkably witty|The host’s scintillating conversations with celebrities have earned her numerous awards.|
Scoff|to sneer or laugh with scorn|The rude little rich girl thought it was fun to scoff at the poor children at her school.|
Scoffed|laughed at with disdain or scorn|The billionaire heiress scoffed at the idea of eating a peanut butter sandwich.|
Scold|to strongly criticize|Female dogs sometimes scold their puppies by nipping on their ears.|
Scope|the extent or range of which something is deals with|The manager got off task and asked questions that were outside the scope of the current meeting.|
Scorch|to burn the surface something|Janine is a horrible cook and tends to scorch anything she puts in a frying pan.|
Scorching|extremely hot|On the scorching hot day, all the cowboy could think about was a drink of cool water.|
Scorn|to show disdain or contempt for something or someone|Even though Warren is a billionaire, he does not scorn anyone and treats all people equally.|
Scorn|disrespect or disapproval for someone or something|Though he did not mean to scorn the girl, his rejection came off as extremely offensive.|
Scorned|rejected or rebuffed|The snobby woman scorned the man’s offer to take her out on a date with a firm “no.”|
Scoundrel|a bad, dishonest person|The scoundrel stole my purse and ran off with it.|
Scour|to scrub hard|My mother made us scour the bathroom before our guests arrived.|
Scourge|a persistent pest, illness, or source of trouble|For several years, the drug violence in the border city was such a scourge on the population that it was named the murder capital of the world.|
Scowl|a frown of anger or displeasure|Whenever my husband looks at our noisy neighbors, he has a scowl on his face.|
Scrag|a bony or scrawny person or animal|Starving in the streets, the bony scrag begged for food from those passing by her famished body.|
Scraggly|used to describe a person who is very thin and bony looking|The prisoner of war’s scraggly body weighed less than a hundred pounds when he was released from captivity.|
Scramble|to move quickly or frantically to make something happen|The frantic team continued to scramble to make a goal but came up short at the end.|
Scrap|a left over piece of something that isn’t of any use|Every small scrap of paper found on the floor is put into a recycling bin on the 4th floor.|
Scrape|the abrasive action of rubbing against something (can be voluntary or involuntary) that results in the removal of dirt, skin, etc.|When the little girl feel off her tricycle, she fell on her face and got a long, jagged scrape on her chin.|
Screech|to give out a loud, piercing sound|Hearing the eagle’s loud screech from above, the rabbit hurried out of sight.|
Screenplay|the story script and shooting directions prepared for motion-picture production|The director followed the directions of the screenplay and instructed the actors on where to stand.|
Screw|to fasten or tighten something in place by turning it|The homeowner tried to screw in a lightbulb by turning it several times clockwise.|
Scribble|to write or draw something quickly or without much focus|I was bored in class, so I drew a little scribble on the back of my worksheet to pass the time, though I can’t remember what I drew.|
